item,item_type,frq,log_frq,zipf,diac,pos,lemma,all_lem_cnt,all_lem_frq,length,rep_letter,n,n_tl,n_a,lev_n,list_type
تواها,nonword,,,,,,,,,5,,,,,,
ساق,word,7.61,0.94,3.89,ساقَ,NOUN-MP,ساق,1.0,0.01,3,0.0,27.0,0.0,14.0,1.0,other_7k_frequent
المحضر,word,0.93,0.29,2.97,المَحْضَرُ,DET + NOUN-MS,محضر,4.0,0.04,6,0.0,7.0,0.0,3.0,1.0,other_7k_frequent
علامة,word,58.1,1.78,4.77,عَلامَةٌ,NOUN-FS + NSUFF,علامة,17.0,0.14,5,0.0,7.0,2.0,3.0,1.14,other_7k_frequent
عرضت,word,22.3,1.37,4.35,عَرَضتْ,V + PRON,عرض,67.0,0.55,4,0.0,11.0,0.0,4.0,1.0,other_7k_frequent
التزائهم,nonword,,,,,,,,,8,,,,,,
أصيفت,nonword,,,,,,,,,5,,,,,,
الصحفيين,word,5.75,0.83,3.76,الصَّحَفيّينَ,DET + NOUN-MP + NSUFF,صحفي,11.0,0.09,8,1.0,2.0,0.0,1.0,1.0,most_5k_frequent
نازلية,nonword,,,,,,,,,6,,,,,,
تجمع,word,25.42,1.43,4.41,تَجْمَعُ,NOUN-MS,جمع,39.0,0.32,4,0.0,15.0,0.0,12.0,1.0,most_5k_frequent
منخرطا,word,0.64,0.22,2.81,مُنْخَرِطًا,NOUN-MS + CASE,منخرط,2.0,0.02,6,0.0,1.0,0.0,0.0,1.0,other_7k_frequent
تأييد,word,1.97,0.48,3.3,تَأْييدٌ,NOUN-MS,تأييد,2.0,0.02,5,1.0,4.0,0.0,0.0,1.0,most_5k_frequent
عاحو,nonword,,,,,,,,,4,,,,,,
عنير,nonword,,,,,,,,,4,,,,,,
ثائة,nonword,,,,,,,,,4,,,,,,
ليستقبة,nonword,,,,,,,,,7,,,,,,
واكرة,nonword,,,,,,,,,5,,,,,,
يحصائد,nonword,,,,,,,,,6,,,,,,
تعلميت,nonword,,,,,,,,,6,,,,,,
الأهالي,word,3.94,0.7,3.6,الأَهالي,DET + NOUN-MP,أهل,14.0,0.12,7,1.0,1.0,0.0,0.0,1.0,most_5k_frequent
معقم,word,1.1,0.33,3.05,مُعَقَّمٌ,NOUN-MS,معقم,3.0,0.03,4,1.0,10.0,0.0,1.0,1.0,other_7k_frequent
